排名,电影名,上映时间,评分,票房,平均票价,场均人次,电影标签,出品地区
68,头号玩家,2018-03-30,9.0,139668,36.40283,18,"动作,冒险,科幻",美国
69,速度与激情9,2021-05-21,7.9,139226,39.293274,13,"动作,犯罪,冒险",美国
70,奇迹·笨小孩,2022-02-01,9.5,137934,46.25873,11,剧情,中国大陆
71,泰坦尼克号,1998-04-03,9.6,136531,22.056992,61,"剧情,爱情,灾难",美国
72,后来的我们,2018-04-28,8.3,136155,33.90266,21,"剧情,爱情",中国大陆
73,一出好戏,2018-08-10,8.2,135507,34.711494,25,"剧情,喜剧",中国大陆
74,坚如磐石,2023-09-28,8.7,135163,42.90325,10,"剧情,犯罪,悬疑",中国大陆
75,默杀,2024-07-03,9.2,135129,41.193733,10,"犯罪,悬疑,剧情",中国大陆
76,误杀,2019-12-13,9.4,133312,33.156654,11,"剧情,犯罪",中国大陆
77,怒火·重案,2021-07-30,9.3,132936,38.70422,8,动作,"中国大陆,中国香港"
78,中国医生,2021-07-09,9.3,132886,36.341267,11,剧情,中国大陆
79,拆弹专家2,2020-12-24,9.2,131473,38.65716,11,"动作,犯罪","中国大陆,中国香港"
80,扫毒2天地对决,2019-07-05,9.0,131288,36.361706,16,"剧情,动作,悬疑,犯罪","中国大陆,中国香港"
81,摔跤吧！爸爸,2017-05-05,9.8,129932,30.073994,22,"喜剧,动作,传记,剧情",印度
82,年会不能停！,2023-12-29,9.6,129263,39.348915,8,"喜剧,剧情",中国大陆
83,无双,2018-09-30,8.9,127378,35.56216,15,"动作,惊悚,犯罪","中国大陆,中国香港"
84,人再囧途之泰囧,2012-12-12,8.7,127096,32.42341,45,"喜剧,冒险,爱情",中国大陆
85,西游·降魔篇,2013-02-10,8.4,124695,40.226612,41,"喜剧,奇幻,冒险","中国大陆,中国香港"
86,碟中谍6：全面瓦解,2018-08-31,9.0,124523,36.820988,15,"动作,惊悚,冒险",美国
87,美国队长3,2016-05-06,8.6,124397,34.987694,25,"动作,冒险,科幻",美国
88,哥斯拉大战金刚,2021-03-26,8.9,123265,37.44387,9,"动作,冒险,科幻",美国
89,寻梦环游记,2017-11-24,9.6,123008,33.49183,17,"动作,动画,冒险",美国
90,志愿军：存亡之战,2024-09-30,9.7,120668,41.344597,10,"剧情,战争",中国大陆
91,西游记之孙悟空三打白骨精,2016-02-08,7.7,119865,36.662884,35,"喜剧,动作,奇幻","中国大陆,中国香港"
